frameName,numFrameElements,coreTypes,elementNames,descriptions,frameType,classificationExplanation
Ambient_temperature,6,"['cty_core', 'cty_core', 'cty_core', 'cty_core', 'cty_core', 'cty_core']","['Place', 'Attribute', 'Temperature', 'Degree', 'Time', 'Weather']","['The #Place where  it is a certain #Temperature .', 'The temperature feature of the weather.', 'A quantity or other characterization of the #Temperature of the environment.', 'A modifier expressing  the deviation of the #Temperature from the norm.', 'The #Time during which an ambient environment has a particular #Temperature.', 'The meteorological conditions which determine the ambient temperature of a locale.']","['Attribute', 'State', 'Relation']","FEs indicate properties: Value, Extent, Degree; applies to an Entity or Holder.; Core FEs: State, Condition; describes static situations; lacks Goal or Result.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Ammunition,8,"['cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Ammunition', 'Use', 'Creator', 'Time_of_creation', 'Name', 'Type', 'Material', 'Weapon']","['This FE identifies the #Ammunition that is designed to have a particular #Use.', 'The use for which a piece of ammunition is intended.', 'An individual or individuals that bring the #Ammunition into existence.', 'The time at which an #Ammunition comes into existence.', 'The term used to refer to an #Ammunition.', 'An indication of the subtype of #Ammunition.', 'Any indication of what makes up the #Ammunition, including components, ingredients, etc.', 'The weapon that the #Ammunition is used in.\n\n<ex><t>Ammo</t> <fex name=""Weapon"">for an AK-47</fex> was found in the bedroom .</ex>\n<ex><fex name=""Weapon"">Shotgun</fex> <t>shells</t>, unlike simple balls, cannot be reused .</ex>']",['Undetermined'],Insufficient clues from FEs or descriptions.
Amounting_to,4,"['cty_core', 'cty_core', 'cty_core', 'cty_peripheral']","['Value', 'Attribute', 'Numbers', 'Time_span']","['The value of an attribute.', 'The scalar property of a concrete or abstract entity.', 'A set of numbers that add up to the #Value.', 'The span of time when the #Attribute has the #Value.']",['Attribute'],"FEs indicate properties: Value, Extent, Degree; applies to an Entity or Holder."
Animals,4,"['cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Animal', 'Descriptor', 'Origin', 'Characteristic']","['The living organism belonging to the kingdom Animalia.', 'A characterization of the #Animal not covered by another frame element.', 'The location from which the #Animal originated.', 'A quality of the #Animal.']",['Undetermined'],Insufficient clues from FEs or descriptions.
Annoyance,9,"['cty_core', 'cty_core', 'cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Experiencer', 'Topic', 'Stimulus', 'Expressor', 'State', 'Degree', 'Parameter', 'Manner', 'Time']","['The #Experiencer is the person or sentient entity that experiences or feels the emotions.', 'The #Topic is the general area in which the emotion occurs.  It indicates a range of possible #Stimulus.', 'The #Stimulus is the person, event, or state of affairs that evokes the emotional response in the #Experiencer.', 'The body part, gesture, or other expression of the #Experiencer that reflects his or her emotional state.  They describe a presentation of the experience or emotion denoted by the adjective or noun.', 'The #State is the abstract noun that describes a more lasting experience by the #Experiencer.', 'The extent to which the #Experiencer s emotion deviates from the norm for the emotion.', 'The #Parameter is a domain in which the #Experiencer experiences the #Stimulus.', 'Any description of the way in which the #Experiencer experiences the #Stimulus which is not covered by more specific FEs, including secondary effects (<ment>quietly, loudly</ment>), and general descriptions comparing events (<ment>the same way</ment>).  #Manner may also describe a state of the #Experiencer that affects the details of the emotional experience.', 'The #Time when the #Experiencer, #Expressor, or #State can be described as having said emotion.']","['Attribute', 'Event', 'State', 'Relation']","FEs indicate properties: Value, Extent, Degree; applies to an Entity or Holder.; Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; Core FEs: State, Condition; describes static situations; lacks Goal or Result.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Appeal,4,"['cty_core', 'cty_core', 'cty_core', 'cty_peripheral']","['Convict', 'Representative', 'Decision', 'Time']","['The #Convict is the individual convicted of the crime who may make an appeal on her or his behalf.', 'The #Representative applies to a higher court on behalf of the #Convict.', 'The #Decision is the ruling handed down by the first court.', 'The #Time at which a #Convict or #Representative appeals.']",['Relation'],"FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Appellations,4,"['cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral']","['Name', 'Title', 'Context', 'Type']","['The name of the person referred to by a #Title.', 'How a person is referred to within an Institution, often denoting their rank or status. The #Title is always marked on the target.', 'The language, region, or domain in which the #Title applies.', 'The sub-type of the #Title.']",['Undetermined'],Insufficient clues from FEs or descriptions.
Appliances,12,"['cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Appliance', 'Constituent_parts', 'Creator', 'Description', 'Material', 'Name', 'Origin', 'Place', 'Quantity', 'Time_of_creation', 'Type', 'Use']","['A device or machine, mainly electrical, developed to perform a specific task.', 'Salient parts that make up the #Appliance.', 'An individual or individuals that bring the #Appliance into existence.', 'Specific features of an #Appliance.', 'Any indication of what makes up the #Appliance, including components, ingredients, etc.', 'The term used to refer to an #Appliance.', 'It is the place where the #Appliance came from.', 'It is where the #Appliance is located.', 'It is the amount of appliances.', 'The time at which an #Appliance comes into existence.', 'An indication of the subtype of #Appliance.', 'The #Use for which the #Appliance was intended.']",['Relation'],"FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Apply_heat,12,"['cty_core', 'cty_core', 'cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Cook', 'Heating_instrument', 'Food', 'Temperature_setting', 'Container', 'Place', 'Time', 'Means', 'Purpose', 'Duration', 'Degree', 'Manner']","['The #Cook applies heat to the #Food.', 'The entity that  directly supplies heat to the #Food.', '#Food is the entity to which heat is applied by the #Cook.', 'The #Temperature_setting of the #Heating_instrument for the #Food.', 'The #Container holds the #Food to which heat is applied.', 'The #Place where the heat application  occurs.', 'The #Time at which the heat application occurs.', 'The #Means by which heat is applied to #Food.', 'The #Purpose for which an intentional act is performed.', '#Duration is the amount of #Time that heat is applied to the #Food.', 'It identifies the #Degree to which heat application occurs.', 'Any description of the cooking event which is not covered by more specific FEs, including secondary effects (quietly, loudly), and general descriptions comparing events (the same way). In addition, it may indicate salient characteristics of an #Cook that also affect the action (presumptuously, coldly, deliberately, eagerly, carefully). ']","['Attribute', 'Event', 'Image Schema', 'Relation']","FEs indicate properties: Value, Extent, Degree; applies to an Entity or Holder.; Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; Involves topological/kinesthetic primitives: Path, Container, Force.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Appointing,11,"['cty_core', 'cty_core', 'cty_core', 'cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Selector', 'Role', 'Function', 'Body', 'Apointee', 'Appointee', 'Degree', 'Manner', 'Means', 'Time', 'Place']","['The #Selector is responsible for the appointment of the new official.  Typically, it occurs as the External Argument of verbs.', 'Frequently, the #Official is referred to only by his/her role. However, the #Role can be expressed separately from the leader, usually as either a secondary predicate or in a PP Complement (headed by <m>as</m>).', 'The #Function is the purpose the #Official will fufill.', 'A group of individuals who are elected or appointed to perform some function, and to which the #Official is assigned.', 'The #Appointee is a person appointed to a recognized position.', 'The #Appointee is a person appointed to a recognized position.', 'It indicates the #Degree to which an event occurs.', 'It is used for the #Manner of performing an action.', 'It identifies the #Means by which  the #Selector accomplishes the designation of the #Official.', 'When the designation of the official takes place.', 'Where the appointment takes place.']","['Attribute', 'Event', 'Relation']","FEs indicate properties: Value, Extent, Degree; applies to an Entity or Holder.; Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Architectural_part,6,"['cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Part', 'Whole', 'Descriptor', 'Orientation', 'Material', 'Creator']","['A  #Part of a larger architectural unit, the  #Whole.', 'An architectural unit which includes the #Part. ', 'A property relating to the  #Part.', 'This is a property of the  #Part that situates  the  #Part within the #Whole.', 'Any indication of what makes up the #Part, including components, ingredients, etc.', 'The Individual  who creates the #Part.']",['Undetermined'],Insufficient clues from FEs or descriptions.
Arithmetic,3,"['cty_core', 'cty_core', 'cty_core']","['Term1', 'Term2', 'Terms']","['<def-root>The grammatically more prominent number in an arithmetic operation.</def-root>', '<def-root>The grammatically less prominent number in an arithmetic operation.</def-root>', 'Two more or elements of a commutative arithmetic operation. This frame element may be represented as #Term1 and #Term2.']",['Undetermined'],Insufficient clues from FEs or descriptions.
Arithmetic_commutative,3,"['cty_core', 'cty_core', 'cty_core']","['Terms', 'Term1', 'Term2']","['Two more or elements of a commutative arithmetic operation. This frame element may be represented as #Term1 and #Term2.', '<def-root>The grammatically more prominent number involved in a commutative operation.</def-root>', '<def-root>The grammatically less prominent number involved in commutative operation.</def-root>']",['Undetermined'],Insufficient clues from FEs or descriptions.
Arithmetic_non-commutative,2,"['cty_core', 'cty_core']","['Term_1', 'Term_2']","['#Term_1 is the first operand in the non-commutative arithmetic that is modified by #Term_2 (e.g. subtracted or divided by #Term_2).', '#Term_2 is the second operand of the non-commutative arithmetic which modifies #Term_1 (e.g. subtracts from or divides #Term_1).']",['Undetermined'],Insufficient clues from FEs or descriptions.
Armor,5,"['cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral']","['Armor', 'Danger', 'Asset', 'Material', 'Subregion']","['The #Armor prevents the #Asset from coming to harm.', 'An object or situation that could damage the #Asset.', 'Something desirable which might be lost or damaged and which is protected by #Armor.', 'The #Material which the #Armor is primarily made of.', 'The place on the #Asset covered by the #Armor.']",['Undetermined'],Insufficient clues from FEs or descriptions.
Arraignment,7,"['cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Defendant', 'Judge', 'Charges', 'Place', 'Time', 'Duration', 'Manner']","['The #Defendant is charged with a crime by a #Judge.', 'The #Judge is the head of the court where the arraignment occurs.', '#Charges is the crime with which the #Defendant is charged.', 'It identifies the #Place where the arraignment occurs.', 'It identifies the #Time when the arraignment occurs.', 'The length of time that the arraignment takes.', 'Any description of the arraignment which is not covered by more specific FEs, including secondary effects (openly), and general descriptions comparing events (the same way). It may also indicate salient characteristics of an #Judge that also affect the action (presumptuously, coldly, deliberately, eagerly, carefully).']","['Event', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Arranging,8,"['cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Agent', 'Theme', 'Configuration', 'Time', 'Manner', 'Location', 'Purpose', 'Means']","['The person who causes the #Theme to be in a particular #Configuration.', 'An entity that consists of  parts which can be put into a configuration relative to each other and/or relative to their environment.', 'A state that holds of the #Theme or a relation that holds among the constituent parts of the #Theme as a result of the arranging action.', 'The #Time when the arranging takes place.', 'Any description of the arranging action which is not covered by more specific FEs, including epistemic modification (probably, presumably, mysteriously), force (hard, softly), secondary effects (quietly, loudly), and general descriptions comparing events (the same way). With agentive use, it may indicate salient characteristics of an #Agent  that also affect the action ( eagerly, carefully).', 'The place in which the #Theme is put into a #Configuration.', 'An action that the #Agent is trying to bring about by changing the #Configuration of the #Theme.', 'An action performed by the #Agent in order to arrange the #Theme.']","['Event', 'State', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; Core FEs: State, Condition; describes static situations; lacks Goal or Result.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Arrest,11,"['cty_core', 'cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Charges', 'Authorities', 'Suspect', 'Offense', 'Place', 'Time', 'Type', 'Manner', 'Means', 'Purpose', 'Source_of_legal_authority']","['#Charges identifies a category within the legal system; it is the crime with which the #Suspect is charged.<ex>The police <t>arrested</t> Harry <fex name=""Chrg"">on charges of manslaughter</fex>.</ex>', 'The #Authorities charge the #Suspect with commiting a crime, and take him/her into custody.<ex><fex name=""Authorities"">The police</fex> <t>arrested</t> Harry on charges of manslaughter.</ex>', 'The #Suspect is taken into custody, under suspicion of having committed a crime.<ex>The police <t>arrested</t> <fex name=""Suspect"">Harry</fex> on charges of manslaughter.</ex>', '#Offense identifies the ordinary language use of the reason for which a #Suspect is arrested. \n<ex>They arrested Harry <fex name=""Offense"">for shoplifting</fex>.</ex>', 'This FE identifies the #Place where the arrest occurs.<ex>The police <t>arrested</t> Harry <fex name=""Place"">in front of his house</fex>.</ex>', 'This FE identifies the #Time when the arrest occurs.\n<ex>The police <t>arrested</t> Harry <fex name=""Time"">on Wednesday afternoon</fex>.</ex>', 'This FE indicates the subtype of arrest under which the #Suspect is placed.\n<ex>The police placed Harry under <fex name=""Type"">house</fex> <t>arrest</t>.</ex>', 'Any description of the arresting event which is not covered by more specific FEs, including secondary effects (<ment>quietly, loudly</ment>), and general descriptions comparing events (<ment>the same way</ment>). In addition, it may indicate salient characteristics of an #Authorities that also affect the action (<ment>presumptuously, coldly, deliberately, eagerly, carefully</ment>).', 'This FE identifies the #Means by which #Authorities arrest a #Suspect.', 'This FE identifies the purpose for which #Authorities arrest a #Suspect.\n<ex>The police <t>arrested</t> Harry <fex name=""Purpose"">to get him off the street</fex>.</ex>', 'The #Source_of_legal_authority describe the law which grants the power of arrest to the #Authorities.\n<ex><fex name=""Authorities"">The policeman</fex> <t>arrested</t> <fex name=""Suspect"">him</fex> <fex name=""Source_of_legal_authority"">under the ""suspected loitering with intent"" power</fex>.</ex>']","['Event', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Arrival,13,"['cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Destination', 'Means_of_transportation', 'Tourist', 'Luggage', 'Duration', 'Purpose', 'Place', 'Manner', 'Means', 'Origin', 'Time', 'Path', 'Speed']","['A locale where the #Tourist arrives. The place where the trip ends.', 'The means of transportation used by the #Tourist to reach the #Destination.', 'Individual or group that reaches the locale where the touristic activity is going to happen.', 'The personal belongings the #Tourist, generally, carries to the #Destination, such as clothes, shoes and other accessories.', 'How long the stay at the #Destination chosen for touring lasts.', 'Something the #Tourist intends to achieve by arriving at the #Destination.', 'The location of the #Tourist when it is not specified by the #Destination.', 'Characteristics that determine the state of the #Tourist when arriving to the intended #Destination or details that specify how the arrival occured.', 'Actions or means that enable the #Tourist to arrive at the #Destination where the touristic activity is supposed to happen.', 'The location from which the #Tourist departed.  Starting point of the trip.', 'When the #Tourist arrives at the planned #Location for or tourism.', 'The #Path traveled by the #Tourist so as to arrive at the #Destination.', ""The #Tourist's speed with which he arrived at the #Destination.""]","['Image Schema', 'Event', 'State', 'Relation']","Involves topological/kinesthetic primitives: Path, Container, Force.; Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; Core FEs: State, Condition; describes static situations; lacks Goal or Result.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Arrival_at_destination,13,"['cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Tourist', 'Destination', 'Means_of_transportation', 'Place', 'Purpose', 'Source', 'Means', 'Manner', 'Time', 'Speed', 'Path', 'Quantity', 'Depictive']","['Individual or group that arrives at the place where the touristic activity will take place.', 'Location where the #Tourist arrives at. The end point of the displacement.', 'The means of transportation used by the #Tourist to come to #Destination.', 'Any locative information that is not specified by the #Destination.', 'Some specific action that the #Tourist intends to achieve by arriving at the #Destination.', 'The #Tourist source location. It is the start point of displacement.', 'Actions or means that enable the #Tourist to come to the #Destination.', 'Features that determine the status of the #Tourist upon arriving at the #Destination or details that specify how the arrival happened.', 'When the #Tourist arrives at #Destination.', 'How fast the #Tourist arrives at the #Destination.', 'The route through which the #Tourist arrives at the #Destination.', 'How many tourists arrive at the destination.', 'Some feature of the #Tourist or of the #Destination.']","['Event', 'Image Schema', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; Involves topological/kinesthetic primitives: Path, Container, Force.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Arrival_at_lodge,11,"['cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Tourist', 'Lodge', 'Means_of_transportation', 'Path', 'Manner', 'Means', 'Speed', 'Time', 'Source', 'Purpose', 'Place']","['Individual or group that arrives at the #Lodge.', 'Where #Tourist stays during the visit.', 'The means of transportation used by the #Tourist to get to #Lodge.', 'The route through which the #Tourist arrives at the #Lodge.', 'Details of the arrival at the #Lodge in order to specify the status of the #Tourist and / or how this action happened itself.', 'Actions or means that enable the arrival of #Tourist at the #Lodge.', 'How fast the #Tourist arrives at the #Lodge.', 'The time in which the #Tourist arrives at the #Lodge.', 'Location of the #Tourist before she arrives.', 'The purpose the #Tourist wants to achieve by arriving at the #Lodge.', 'Additional information about where the #Tourist arrives.']","['Event', 'Image Schema', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; Involves topological/kinesthetic primitives: Path, Container, Force.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Arriving,9,"['cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Theme', 'Goal', 'Source', 'Path', 'Manner', 'Means', 'Mode_of_transportation', 'Time', 'Place']","['The #Theme is the object that moves. It may be an entity that moves under its own power, but it need not be.', 'The #Goal is any expression that tells where the #Theme ends up, or would end up, as a result of the motion.', 'The #Source is any expression which implies a definite starting-point of motion. While #Source expressions are possible in this frame, they are relatively infrequent.  If present, they often express a general direction from which a #Theme moves, rather than a landmark away from which it moves.', 'The #Path is any description of a trajectory of motion which is neither a #Source nor a #Goal.  In this frame, #Path expressions almost always have a via-sense.', 'A #Manner expression  describes a property of motion which is not directly related to the trajectory of motion.  Descriptions of speed, steadiness, grace, means of motion, and other things count as #Manner expressions.', 'It identifies the #Means by which a #Theme arrives.', 'The #Mode_of_transportation expresses how the motion of the #Theme is effected, by its body or by a vehicle which holds and conveys the #Theme.   Vehicles can move in any way and in any medium.', 'It identifies the #Time when arriving occurs.', 'It identifies the #Place where the arriving event occurs.']","['Event', 'Image Schema', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; Involves topological/kinesthetic primitives: Path, Container, Force.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Arson,10,"['cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Offense', 'Perpetrator', 'Victim', 'Degree', 'Manner', 'Means', 'Purpose', 'Duration', 'Place', 'Time']","['The illegal setting of fire to destroy something.', 'The #Perpetrator sets fire to a building in order to gain some benefit from so doing.', 'It identifies the enity that is negatively effected by the arson. ', 'It identifies the #Degree to which an event occurs', 'It identifies the #Manner in which an action is performed.', 'It identifies the #Means by which arson is committed.', 'The action that the #Perpetrator is trying to accomplish with the arson Event.', 'It identifies the #Duration of time that a state holds or a process is ongoing.', 'It identifies the #Place where the arson occurs.', 'It identifies the #Time when the arson occurs.']","['Attribute', 'Event', 'State', 'Relation']","FEs indicate properties: Value, Extent, Degree; applies to an Entity or Holder.; Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; Core FEs: State, Condition; describes static situations; lacks Goal or Result.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Artifact,2,"['cty_core', 'cty_peripheral']","['Artifact', 'Use']","['It identifies the entity or substance that is designed to have a particular #Use. This can refer to physical artifacts, like a mug or computer monitor, or a digital artifact, such as a website or document.', 'The use for which an artifact is intended.']",['Undetermined'],Insufficient clues from FEs or descriptions.
Artifact_subpart,6,"['cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Component', 'Artifact', 'Function', 'Material', 'Creator', 'Time_of_creation']","['An entity that is a part of an #Artifact and serves a distinct #Function.', 'A deliberately made entity which fulfilling a purpose, whose complete form is composed of more than one #Component.', 'The role or purpose of the #Component as it pertains to the #Artifact.', 'The type of matter that the #Component comprises.', 'The entity who creates the #Component.', 'When the #Component was created.']",['Undetermined'],Insufficient clues from FEs or descriptions.
Artificiality,3,"['cty_core', 'cty_core', 'cty_peripheral']","['Entity', 'Reference_category', 'Degree']","['The #Entity that is being evaluated in terms of whether it is an instance of the #Reference_category.\n\n<ex><fex name=""ent"">The bomb found at the US Embassy in Berlin</fex> <m>was</m> <t>fake</t>.</ex>', 'The type relative to which the #Entity is evaluated.', 'The extent to which the #Entity seems to belong (or not, if so specified by the lexical unit) to the category of the #Reference_category is clear. Typically, this frame element is realized as an end-of-scale expression.']","['Attribute', 'Entity']","FEs indicate properties: Value, Extent, Degree; applies to an Entity or Holder.; Focuses on discrete items (Entity, Object); lacks dynamic roles."
Artistic_style,5,"['cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral']","['Artist', 'Artwork', 'Form', 'Time', 'Descriptor']","['A person who creates an #Artwork with a particular recognizable #Form.', 'A created artifact that is created by an #Artist and has a unique #Form as perceived by some judge.', 'The #Form is a style that characterizes an #Artwork (or an #Artist, metonymically) and can be recognized by a judge. This FE is usually incorporated into the target for nouns in this frame.', 'A description of when the #Artwork was created.', 'A characterization of the #Form that the #Artwork resembles.']",['Relation'],"FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Assemble,9,"['cty_core', 'cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Individuals', 'Group', 'Party_1', 'Party_2', 'Manner', 'Place', 'Means', 'Time', 'Purpose']","['The #Individuals are self-movers who intentionally assemble together.', 'The #Group describes the resulting formation of the #Individuals.', '#Party_1 is the grammatically more prominent participant in the assembling event.  It can refer to either a single individual or a larger party separate from #Party_2 previous to the assembling.', 'A grammatically less prominent participant in the assembling event.  It can refer to either a single individual or a larger party separate from #Party_1 previous to the assembling.', 'Any description of the assembling which is not covered by more specific FEs, including secondary effects (quietly, loudly), and general descriptions comparing events (the same way). In addition, it may indicate salient characteristics of the #Individuals or #Group that also affect the action (presumptuously, coldly, eagerly, carefully).', 'Where the assembling occurs.', 'The #Means descibes the way in which the #Individuals accomplish the assembling.', 'The #Time is when the assembling occurs.', 'An action that the #Group plans to engage in upon assembly.']","['Event', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Assessing,10,"['cty_core', 'cty_core', 'cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Assessor', 'Phenomenon', 'Feature', 'Method', 'Medium', 'Manner', 'Means', 'Time', 'Purpose', 'Place']","['The sentient entity that evaluates the #Phenomenon.', 'The entity whose #Value according to a #Feature is being measured.', 'The type of property or feature that the #Phenomenon is being judged on.', 'An event or procedure that allows the #Assessor to evaluate the #Phenomenon.', 'It is the physical entity or channel used by the #Assessor to make the assessment.', 'Any secondary effect of the action or characterization of the #Assessor which saliently affects the character of the assessment.', 'The means by which assessment occurs.', 'The time at which the #Assessor makes the assessment.', 'The goal that the #Assessor hopes to accomplish by assessing the #Phenomenon.', 'The location where the assessing takes place.']","['Event', 'Relation']","Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Assigned_location,4,"['cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral']","['Station', 'Responsible_party', 'Relative_location', 'Task']","['The locale where the Entity is supposed to be.It is typically the designation of the nouns of Locale-derived frames.', 'The #Responsible_party is tasked with remaining at the #Station to perform a #Task.', 'A place that the #Station is located with respect to.', 'The activity that is carried out at the #Station.']",['Undetermined'],Insufficient clues from FEs or descriptions.
Assistance,12,"['cty_core', 'cty_core', 'cty_core', 'cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Benefited_party', 'Helper', 'Goal', 'Focal_entity', 'Time', 'Place', 'Manner', 'Means', 'Instrument', 'Degree', 'Duration', 'Purpose']","['The #Benefited_party receives a benefit from the action of the #Helper.', 'The #Helper performs some action that benefits the #Benefited_party.', 'The desirable state of affairs that the #Benefited_party is involved in and which is enabled by the #Helper.', 'It identifies a #Focal_entity involved in achieving the #Goal.', 'It identifies the #Time when the Assistance occurs.', 'It identifies the #Place where the Assistance occurs.', 'It identifies the #Manner in which a #Helper assists a #Benefited_party.', 'An action that the #Helper undertakes in service of the #Benefited_party s #Goal.', 'An entity used by the #Helper in service of the #Benefited_party when accomplishing their #Goal.', 'The measure to which the #Helper s assistance brings the #Benefited_party closer to accomplishing their #Goal.', 'The time period during which the #Helper gives assistence to the #Benefited_party.', 'The situation that the #Helper wishes to bring about by helping the #Benefited_party to achieve the #Goal.  Note that this FE should normally be used only when this situation is separate from the #Goal.']","['Attribute', 'Event', 'State', 'Relation']","FEs indicate properties: Value, Extent, Degree; applies to an Entity or Holder.; Key FEs: Agent, Theme, Goal; indicates change or interaction; often includes Time/Manner.; Core FEs: State, Condition; describes static situations; lacks Goal or Result.; FEs show spatial/logical relations: Location, Path, Cause; connects entities or events."
Assistive_Technology,4,"['cty_core', 'cty_peripheral', 'cty_peripheral', 'cty_peripheral']","['Assistive Technology', 'Individual', 'Disability', 'Especificação']","['Resources that help people with disabilities overcome barriers.', 'Indivíduo', 'Deficiência', 'Especificação']",['Undetermined'],Insufficient clues from FEs or descriptions.
Asymmetric_reciprocality,2,"['cty_core', 'cty_core']","['Protagonist_1', 'Protagonist_2']","['The profiled participant in a reciprocal event, encoded as the subject of an active-form sentence or as a by-PP in a passive. \n<ex>""<fex name=""Protagonist_1"">You</fex> can t <t>argue</t> politics with foreigners,"" sighed the policeman.</ex>', 'The participant involved (subordinately) with #Protagonist_1 in a reciprocal event.  It is generally coded in a with-PP. \n<ex>We have been <t>arguing</t> the point <fex name=""Protagonist_2"">with the inspector at claims branch</fex> for many many months and we just seem to go round in circles.</ex>']",['Undetermined'],Insufficient clues from FEs or descriptions.
